625,-0.101,-0.009,0.110
564,-0.092,-0.001,0.094
517,-0.092,-0.001,0.094
464,-0.093,0.003,0.090
418,-0.093,0.003,0.090
357,-0.094,0.007,0.087
310,-0.094,0.007,0.087
248,-0.104,-0.001,0.105
200,-0.104,-0.001,0.105
146,-0.089,-0.009,0.098
98,-0.089,-0.009,0.098
36,-0.084,-0.017,0.101
4084,-0.084,-0.017,0.101
4023,-0.084,-0.010,0.094
3975,-0.084,-0.010,0.094
3913,-0.103,-0.005,0.108
3873,-0.103,-0.005,0.108
3812,-0.105,0.012,0.093
3765,-0.105,0.012,0.093
3706,-0.077,0.007,0.070
3660,-0.077,0.007,0.070
3608,-0.052,-0.011,0.063
3556,-0.052,-0.011,0.063
3498,-0.054,-0.036,0.090
3453,-0.054,-0.036,0.090
3402,-0.093,-0.028,0.121
3351,-0.093,-0.028,0.121
3300,-0.101,-0.008,0.108
3255,-0.101,-0.008,0.108
3204,-0.094,0.008,0.086
3160,-0.094,0.008,0.086
3104,-0.060,-0.014,0.074
3054,-0.060,-0.014,0.074
2997,-0.057,-0.012,0.068
2959,-0.057,-0.012,0.068
2908,-0.057,-0.011,0.068
2857,-0.057,-0.011,0.068
2801,-0.038,-0.046,0.085
2750,-0.038,-0.046,0.085
2698,-0.023,-0.064,0.088
2646,-0.023,-0.064,0.088
2587,-0.046,-0.055,0.100
2541,-0.046,-0.055,0.100
2483,-0.044,-0.053,0.096
2431,-0.044,-0.053,0.096
2371,-0.058,-0.018,0.075
2371,-0.058,-0.018,0.075
2297,-0.058,-0.018,0.075
2244,-0.040,-0.014,0.054
2191,-0.040,-0.014,0.054
2131,0.015,-0.027,0.011
2084,0.015,-0.027,0.011
2031,0.031,-0.061,0.029
1984,0.031,-0.061,0.029
1931,0.020,-0.069,0.049
1884,0.020,-0.069,0.049
1825,0.014,-0.079,0.065
1779,0.014,-0.079,0.065
1720,0.013,-0.078,0.066
1674,0.013,-0.078,0.066
1622,-0.000,-0.064,0.065
1577,-0.000,-0.064,0.065
1519,-0.007,-0.056,0.062
1474,-0.007,-0.056,0.062
1417,-0.005,-0.055,0.060
1372,-0.005,-0.055,0.060
1316,0.003,-0.042,0.039
1278,0.003,-0.042,0.039
1220,0.010,-0.055,0.045
1176,0.010,-0.055,0.045
1119,0.001,-0.065,0.064
1075,0.001,-0.065,0.064
1025,-0.009,-0.061,0.069
980,-0.009,-0.061,0.069
923,-0.015,-0.054,0.068
877,-0.015,-0.054,0.068
820,-0.010,-0.045,0.056
775,-0.010,-0.045,0.056
717,-0.011,-0.048,0.059
671,-0.011,-0.048,0.059
619,0.000,-0.052,0.052
573,0.000,-0.052,0.052
513,0.017,-0.055,0.038
467,0.017,-0.055,0.038
407,0.021,-0.052,0.032
360,0.021,-0.052,0.032
306,0.023,-0.052,0.029
259,0.023,-0.052,0.029
197,0.004,-0.023,0.019
150,0.004,-0.023,0.019
89,0.007,-0.024,0.017
41,0.007,-0.024,0.017
4082,0.012,-0.041,0.029
4034,0.012,-0.041,0.029
3973,-0.002,-0.033,0.035
3925,-0.002,-0.033,0.035
3863,0.001,-0.015,0.015
3816,0.001,-0.015,0.015
3762,0.032,-0.037,0.005
3714,0.032,-0.037,0.005
3654,0.048,-0.058,0.010
3607,0.048,-0.058,0.010
3547,0.049,-0.075,0.026
3500,0.049,-0.075,0.026
3440,0.037,-0.095,0.058
